"(3, 4, 5, 10, 10, 'ws', 1)","[('199970', 100.0), ('56038', 100.0), ('1943', 98.76543209876543), ('9715', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 7, 10, 'os', 1)","[('272129', 99.86168741355462), ('48097', 100.0), ('679', 33.33333333333333), ('21527', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 6, 8, 10, 'os', 1)","[('272129', 99.86168741355462), ('48097', 100.0), ('679', 33.33333333333333), ('8557', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 6, 7, 10, 'ws', 1)","[('201434', 100.0), ('57490', 100.0), ('1943', 98.76543209876543), ('8969', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 6, 10, 'ws', 1)","[('201434', 100.0), ('57490', 100.0), ('1943', 98.76543209876543), ('39875', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 5, 10, 'ws', 1)","[('201434', 100.0), ('57490', 100.0), ('1943', 98.76543209876543), ('94777', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 9, 10, 'os', 1)","[('272129', 99.86168741355462), ('48097', 100.0), ('679', 33.33333333333333), ('9295', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 6, 8, 10, 'ws', 1)","[('201434', 100.0), ('57490', 100.0), ('1943', 98.76543209876543), ('29891', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 10, 10, 'os', 1)","[('272129', 99.86168741355462), ('48097', 100.0), ('679', 33.33333333333333), ('10059', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 3, 10, 7, 10, 'os', 1)","[('310017', 88.76594436760664), ('92459', 66.66666666666674), ('923', 32.323232323232325), ('19899', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 10, 8, 10, 'os', 1)","[('310017', 88.76594436760664), ('92459', 66.66666666666674), ('923', 32.323232323232325), ('8719', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 4, 6, 9, 10, 'ws', 1)","[('201434', 100.0), ('57490', 100.0), ('1943', 98.76543209876543), ('19209', 100.0), ('1079', 83.33333333333331)]"
"(3, 3, 10, 9, 10, 'os', 1)","[('310017', 88.76594436760664), ('92459', 66.66666666666674), ('923', 32.323232323232325), ('9363', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 10, 7, 10, 'ws', 1)","[('233166', 88.88888888888893), ('94081', 66.66666666666679), ('2375', 95.77254021698484), ('9409', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 10, 10, 10, 'os', 1)","[('310017', 88.76594436760664), ('92459', 66.66666666666674), ('923', 32.323232323232325), ('10039', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 4, 6, 10, 10, 'ws', 1)","[('201434', 100.0), ('57490', 100.0), ('1943', 98.76543209876543), ('9715', 100.0), ('1079', 83.33333333333331)]"
"(3, 3, 10, 8, 10, 'ws', 1)","[('233166', 88.88888888888893), ('94081', 66.66666666666679), ('2375', 95.77254021698484), ('37669', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 10, 9, 10, 'ws', 1)","[('233166', 88.88888888888893), ('94081', 66.66666666666679), ('2375', 95.77254021698484), ('19459', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 10, 10, 10, 'ws', 1)","[('233166', 88.88888888888893), ('94081', 66.66666666666679), ('2375', 95.77254021698484), ('9725', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 4, 7, 6, 10, 'ws', 1)","[('203316', 100.0), ('59368', 100.0), ('1943', 98.76543209876543), ('39875', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 7, 5, 10, 'ws', 1)","[('203316', 100.0), ('59368', 100.0), ('1943', 98.76543209876543), ('94777', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 7, 7, 10, 'ws', 1)","[('203316', 100.0), ('59368', 100.0), ('1943', 98.76543209876543), ('8969', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 5, 5, 10, 'is', 1)","[('197807', 100.0), ('147528', 100.0), ('1079', 24.69135802469136), ('9943', 25.0), ('511', 20.833333333333336)]"
"(3, 4, 7, 8, 10, 'ws', 1)","[('203316', 100.0), ('59368', 100.0), ('1943', 98.76543209876543), ('29891', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 5, 6, 10, 'is', 1)","[('197807', 100.0), ('147528', 100.0), ('1079', 24.69135802469136), ('11261', 25.0), ('511', 20.833333333333336)]"
"(3, 4, 8, 5, 10, 'os', 1)","[('234757', 99.86168741355462), ('47863', 100.0), ('679', 33.33333333333333), ('10027', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 8, 6, 10, 'os', 1)","[('234757', 99.86168741355462), ('47863', 100.0), ('679', 33.33333333333333), ('11555', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 7, 10, 'is', 1)","[('197807', 100.0), ('147528', 100.0), ('1079', 24.69135802469136), ('19753', 25.0), ('511', 20.833333333333336)]"
"(3, 4, 7, 5, 10, 'os', 1)","[('582841', 99.86168741355462), ('91673', 100.0), ('679', 33.33333333333333), ('10027', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 8, 7, 10, 'os', 1)","[('234757', 99.86168741355462), ('47863', 100.0), ('679', 33.33333333333333), ('21527', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 8, 10, 'is', 1)","[('197807', 100.0), ('147528', 100.0), ('1079', 24.69135802469136), ('8707', 25.0), ('511', 20.833333333333336)]"
"(3, 4, 7, 6, 10, 'os', 1)","[('582841', 99.86168741355462), ('91673', 100.0), ('679', 33.33333333333333), ('11555', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 7, 9, 10, 'ws', 1)","[('203316', 100.0), ('59368', 100.0), ('1943', 98.76543209876543), ('19209', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 5, 9, 10, 'is', 1)","[('197807', 100.0), ('147528', 100.0), ('1079', 24.69135802469136), ('9333', 25.0), ('511', 20.833333333333336)]"
"(3, 4, 7, 7, 10, 'os', 1)","[('582841', 99.86168741355462), ('91673', 100.0), ('679', 33.33333333333333), ('21527', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 10, 10, 'is', 1)","[('197807', 100.0), ('147528', 100.0), ('1079', 24.69135802469136), ('9981', 25.0), ('511', 20.833333333333336)]"
"(3, 4, 7, 10, 10, 'ws', 1)","[('203316', 100.0), ('59368', 100.0), ('1943', 98.76543209876543), ('9715', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 7, 8, 10, 'os', 1)","[('582841', 99.86168741355462), ('91673', 100.0), ('679', 33.33333333333333), ('8557', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 6, 5, 10, 'is', 1)","[('197807', 100.0), ('55655', 100.0), ('1079', 24.69135802469136), ('9943', 25.0), ('511', 20.833333333333336)]"
"(3, 4, 8, 6, 10, 'ws', 1)","[('200077', 100.0), ('56127', 100.0), ('1943', 98.76543209876543), ('39875', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 6, 10, 'is', 1)","[('197807', 100.0), ('55655', 100.0), ('1079', 24.69135802469136), ('11261', 25.0), ('511', 20.833333333333336)]"
